# Faculty of Technology, University of Delhi — room timetable
# Academic Session 2026-27, w.e.f. 17th September 2026
#
# Transcribed from the 22-page printed timetable issued on 17 September 2026. One row
# per printed cell:
#   day,start,units,room,subject,section,faculty,kind,batch
# `start` is the slot's start hour on a 24-hour clock, `units` its length in hours (a
# 2-hour block is one row with units=2, not two rows). `kind` is L / P / T.
#
# The printed grid has an 8-9 AM column and the timetable uses it. Attendo's teaching
# day starts at 9 and its slot grid is not being widened, so those cells are not
# carried over. Nine are dropped whole; the three that continue past 9 AM (the
# first-year FMB practical) keep the hours from 9 onward.
#
# Every other cell on every page is transcribed, including the ones printed without a
# room in brackets — FIT INDIA (Fit India, the sports hour, formerly SFL). Those leave
# `room` empty: they are classes the section attends, so they must be here for course
# seeding, but they occupy no room and the Rooms screens skip them. An empty `room` is
# the only way to say that; naming a room they do not use would book a room that is
# actually free.
#
# A class attended by more than one cohort (a 3rd-year elective, a joint EE workshop)
# appears once per cohort. That is not a clash: the Rooms screen groups identical
# bookings and lists the cohorts together. The `batch` column carries the cohort the
# printed cell names — FMB and FL number their practical groups A and B across
# sections, so a first-year section may be in group A here and group B there.
#
# To update for a new semester: replace this file, keeping the column order.
day,start,units,room,subject,section,faculty,kind,batch
Tue,14,2,303,CTRLS,3rd Yr ECE-B,VJ,P,B1
Tue,16,1,R1,ECA-A,3rd Yr ECE-B,RJS,L,
Tue,17,1,214,NN-B,3rd Yr ECE-B,US,L,
Wed,9,2,313,NN-B,3rd Yr ECE-B,US,P,B1
Wed,10,1,304,DMW,3rd Yr ECE-B,JS,T,
Wed,11,2,204,CTRLS,3rd Yr ECE-B,VJ,L,
Wed,13,1,R1,EH,3rd Yr ECE-B,SK,L,
Wed,15,1,314,DSP,3rd Yr ECE-B,AKG,L,
Wed,16,2,R2,EH,3rd Yr ECE-B,SK,P,B1
Thu,9,1,204,AVLSI,3rd Yr ECE-B,VK,L,
Thu,10,1,313,DIP-B,3rd Yr ECE-B,GS,L,
Thu,12,1,204,CTRLS,3rd Yr ECE-B,VJ,L,
Thu,14,2,219,ACS,3rd Yr ECE-B,VS,P,B1
Thu,14,2,303,CTRLS,3rd Yr ECE-B,VJ,P,B2
Thu,16,2,214,NN-B,3rd Yr ECE-B,US,L,
Thu,16,2,R2,EH,3rd Yr ECE-B,SK,P,B2
Fri,9,2,303,AVLSI,3rd Yr ECE-B,VK,P,
Fri,9,2,R3,DMW,3rd Yr ECE-B,JS,L,
Fri,13,1,R3,EH,3rd Yr ECE-B,SK,L,
Fri,14,2,314,DIP-B,3rd Yr ECE-B,GS,L,
Fri,16,2,213,ECA-A,3rd Yr ECE-B,RJS,L,

# ---- 3rd Year CSE-A ----------------------------------------------------------
Mon,11,2,219,CN,3rd Yr CSE-A,JS,P,A1
Mon,11,2,303,AIML,3rd Yr CSE-A,SY,P,A2
Mon,13,1,R1,EH,3rd Yr CSE-A,SK,L,
Mon,14,2,313,TOC,3rd Yr CSE-A,UK,L,
Mon,16,2,214,NN-A,3rd Yr CSE-A,US,L,
Tue,9,2,204,AVLSI,3rd Yr CSE-A,VK,L,
Tue,9,2,R1,DIP-A,3rd Yr CSE-A,AKG,L,
Tue,11,1,214,CN,3rd Yr CSE-A,JS,L,
Tue,12,1,313,TOC,3rd Yr CSE-A,UK,L,
Tue,13,1,203,DMW,3rd Yr CSE-A,JS,L,
Tue,14,1,R1,TOC,3rd Yr CSE-A,UK,T,A1
Tue,15,1,R1,TOC,3rd Yr CSE-A,UK,T,A2
Tue,16,1,214,NN-A,3rd Yr CSE-A,US,L,
Wed,9,2,303,DIP-A,3rd Yr CSE-A,AKG,P,A1
Wed,10,1,304,DMW,3rd Yr CSE-A,JS,T,
Wed,12,1,R1,AIML,3rd Yr CSE-A,SY,L,
Wed,13,1,R1,EH,3rd Yr CSE-A,SK,L,
Wed,14,2,219,AIML,3rd Yr CSE-A,SY,P,A1
Wed,14,2,R3,CN,3rd Yr CSE-A,JS,P,A2
Wed,16,2,214,ECA-B,3rd Yr CSE-A,RJS,L,
Wed,16,2,R2,EH,3rd Yr CSE-A,SK,P,B1
Thu,9,1,204,AVLSI,3rd Yr CSE-A,VK,L,
Thu,9,1,313,DIP-A,3rd Yr CSE-A,AKG,L,
Thu,11,2,R1,CN,3rd Yr CSE-A,JS,L,
Thu,13,1,R1,ECA-B,3rd Yr CSE-A,RJS,L,
Thu,15,1,313,ECA,3rd Yr CSE-A,RJS,T,B1
Thu,16,2,R2,EH,3rd Yr CSE-A,SK,P,B2
Fri,9,2,303,AVLSI,3rd Yr CSE-A,VK,P,
Fri,9,2,R3,DMW,3rd Yr CSE-A,JS,L,
Fri,11,2,313,AIML,3rd Yr CSE-A,SY,L,
Fri,13,1,R3,EH,3rd Yr CSE-A,SK,L,
Fri,14,2,313,NN-A,3rd Yr CSE-A,US,P,A1

# ---- 3rd Year CSE-B ----------------------------------------------------------
Mon,9,2,303,DIP-A,3rd Yr CSE-B,AKG,P,A2
Mon,11,2,R1,TOC,3rd Yr CSE-B,SNK,L,
Mon,13,1,R1,EH,3rd Yr CSE-B,SK,L,
Mon,14,2,211,CN,3rd Yr CSE-B,JS,P,B1
Mon,14,2,213,AIML,3rd Yr CSE-B,SY,P,B2
Mon,16,2,214,NN-A,3rd Yr CSE-B,US,L,
Tue,9,2,R1,DIP-A,3rd Yr CSE-B,AKG,L,
Tue,11,1,314,AIML,3rd Yr CSE-B,SY,L,
Tue,13,1,203,DMW,3rd Yr CSE-B,JS,L,
Tue,14,2,304,CN,3rd Yr CSE-B,JS,P,B2
Tue,14,2,R2,AIML,3rd Yr CSE-B,SY,P,B1
Tue,16,1,214,NN-A,3rd Yr CSE-B,US,L,
Tue,17,1,214,NN-B,3rd Yr CSE-B,US,L,
Wed,10,1,304,DMW,3rd Yr CSE-B,JS,T,
Wed,11,1,R1,TOC,3rd Yr CSE-B,SNK,L,
Wed,12,1,213,CN,3rd Yr CSE-B,JS,L,
Wed,13,1,R1,EH,3rd Yr CSE-B,SK,L,
Wed,15,1,313,TOC,3rd Yr CSE-B,SNK,T,B2
Wed,16,2,214,ECA-B,3rd Yr CSE-B,RJS,L,
Wed,16,2,R2,EH,3rd Yr CSE-B,SK,P,B1
Thu,9,1,313,DIP-A,3rd Yr CSE-B,AKG,L,
Thu,10,1,317,TOC,3rd Yr CSE-B,SNK,T,B1
Thu,11,2,314,AIML,3rd Yr CSE-B,SY,L,
Thu,13,1,R1,ECA-B,3rd Yr CSE-B,RJS,L,
Thu,14,2,R1,NN-A,3rd Yr CSE-B,US,P,A2
Thu,16,2,R2,EH,3rd Yr CSE-B,SK,P,B2
Fri,9,2,R3,DMW,3rd Yr CSE-B,JS,L,
Fri,11,2,203,CN,3rd Yr CSE-B,JS,L,
Fri,13,1,R1,ECA,3rd Yr CSE-B,RJS,T,B2
Fri,13,1,R3,EH,3rd Yr CSE-B,SK,L,

# ---- 4th Year EE -------------------------------------------------------------
Mon,10,1,204,NBD,4th Yr EE,SG,L,
Mon,11,2,513,ECFC,4th Yr EE,JP,P,
Mon,13,1,214,EDGE-A,4th Yr EE,MV,L,
Mon,14,2,513,NBD,4th Yr EE,SG,P,A1
Mon,14,2,Basement Lab,ED,4th Yr EE,AKS,P,A2
Mon,16,2,R1,DADV,4th Yr EE,JJ,P,
Tue,9,1,203,SME,4th Yr EE,RR,L,
Tue,10,1,Basement Lab,ED,4th Yr EE,AKS,L,
Tue,12,1,314,MEV,4th Yr EE,ART,L,
Tue,13,1,204,AVFD,4th Yr EE,RS,L,
Tue,14,2,311,ECFC,4th Yr EE,JP,L,
Tue,14,2,313,EDGE-A,4th Yr EE,MV,L,
Tue,14,1,314,SME,4th Yr EE,RR,L,
Tue,15,1,317,SQAM,4th Yr EE,JJ,T,A1
Wed,9,1,203,SME,4th Yr EE,RR,L,
Wed,9,2,217,EDGE-A,4th Yr EE,MV,P,A2
Wed,9,2,219,RL-A,4th Yr EE,SNK,P,A1
Wed,9,2,317,FOA,4th Yr EE,UK,P,
Wed,11,2,212,NBD,4th Yr EE,SG,L,
Wed,13,1,204,FOA,4th Yr EE,UK,L,
Wed,13,1,304,SME,4th Yr EE,RR,T,A1
Wed,13,1,311,ECFC,4th Yr EE,JP,L,
Wed,14,1,313,RL-A,4th Yr EE,SNK,L,
Wed,15,1,204,AVFD,4th Yr EE,RS,L,
Wed,16,2,317,AVFD,4th Yr EE,RS,P,
Thu,9,2,303,MIC,4th Yr EE,SJY,P,B1
Thu,9,2,Basement Lab,ED,4th Yr EE,AKS,P,A1
Thu,11,2,217,EDGE-A,4th Yr EE,MV,P,A1
Thu,11,2,219,RL-A,4th Yr EE,SNK,P,A2
Thu,11,2,303,SQAM,4th Yr EE,JJ,L,
Thu,11,2,R3,FOA,4th Yr EE,UK,L,
Thu,13,1,204,MIC,4th Yr EE,SJY,L,
Thu,14,2,513,NBD,4th Yr EE,SG,P,A2
Thu,16,2,313,RL-A,4th Yr EE,SNK,L,
Fri,9,2,204,ED,4th Yr EE,AKS,L,
Fri,11,2,513,MEV,4th Yr EE,ART,P,
Fri,13,1,204,AVFD,4th Yr EE,RS,L,
Fri,14,2,Basement Lab,MEV,4th Yr EE,ART,L,
Fri,15,1,203,SQAM,4th Yr EE,JJ,L,
Sat,9,2,204,DADV,4th Yr EE,SMT,L,
Sat,12,1,204,DADV,4th Yr EE,SMT,L,

# ---- 4th Year ECE-A ----------------------------------------------------------
Mon,9,2,311,SCE,4th Yr ECE-A,RHS,P,A2
Mon,11,2,314,DASIC,4th Yr ECE-A,KS,P,A1
Mon,13,1,213,RL-B,4th Yr ECE-A,SNK,L,
Mon,14,2,203,SCE,4th Yr ECE-A,VJ,L,
Mon,16,2,R1,DADV,4th Yr ECE-A,JJ,P,
Tue,9,1,203,SME,4th Yr ECE-A,RR,L,
Tue,10,1,313,SCE,4th Yr ECE-A,RHS,L,
Tue,11,2,513,DASIC,4th Yr ECE-A,KS,P,A2
Tue,13,1,204,AVFD,4th Yr ECE-A,RS,L,
Tue,14,2,214,RL-B,4th Yr ECE-A,SNK,L,
Tue,14,1,314,SME,4th Yr ECE-A,RR,L,
Tue,15,1,314,SME,4th Yr ECE-A,RR,T,A2
Tue,16,2,314,DASIC,4th Yr ECE-A,KS,P,A1
Wed,9,1,203,SME,4th Yr ECE-A,RR,L,
Wed,9,2,317,FOA,4th Yr ECE-A,UK,P,
Wed,10,1,211,SQAM,4th Yr ECE-A,JJ,T,A2
Wed,11,2,Basement Lab,SCE,4th Yr ECE-A,RHS,P,A1
Wed,13,1,204,FOA,4th Yr ECE-A,UK,L,
Wed,14,1,314,EDGE-B,4th Yr ECE-A,MV,L,
Wed,15,1,204,AVFD,4th Yr ECE-A,RS,L,
Wed,16,2,317,AVFD,4th Yr ECE-A,RS,P,
Thu,9,2,303,MIC,4th Yr ECE-A,SJY,P,B1
Thu,11,2,303,SQAM,4th Yr ECE-A,JJ,L,
Thu,11,2,R3,FOA,4th Yr ECE-A,UK,L,
Thu,13,1,204,MIC,4th Yr ECE-A,SJY,L,
Thu,14,2,314,DASIC,4th Yr ECE-A,KS,L,
Thu,16,2,314,EDGE-B,4th Yr ECE-A,MV,L,
Fri,9,2,212,EDGE-B,4th Yr ECE-A,MV,P,B2
Fri,9,2,219,RL-B,4th Yr ECE-A,SNK,P,B1
Fri,11,2,212,EDGE-B,4th Yr ECE-A,MV,P,B1
Fri,11,2,304,RL-B,4th Yr ECE-A,SNK,P,B2
Fri,13,1,204,AVFD,4th Yr ECE-A,RS,L,
Fri,14,2,213,DASIC,4th Yr ECE-A,KS,P,A2
Fri,15,1,203,SQAM,4th Yr ECE-A,JJ,L,
Sat,9,2,204,DADV,4th Yr ECE-A,SMT,L,
Sat,12,1,204,DADV,4th Yr ECE-A,SMT,L,

# ---- 4th Year ECE-B ----------------------------------------------------------
Mon,9,2,317,DASIC,4th Yr ECE-B,KS,P,B2
Mon,11,2,314,DASIC,4th Yr ECE-B,KS,P,B1
Mon,11,2,513,ECFC,4th Yr ECE-B,JP,P,
Mon,13,1,214,EDGE-A,4th Yr ECE-B,MV,L,
Mon,14,2,314,SCE,4th Yr ECE-B,RHS,L,
Mon,16,2,303,MIC,4th Yr ECE-B,SJY,P,B2
Mon,16,2,R1,DADV,4th Yr ECE-B,JJ,P,
Tue,9,1,203,SME,4th Yr ECE-B,RR,L,
Tue,11,1,313,SCE,4th Yr ECE-B,RHS,L,
Tue,12,1,314,MEV,4th Yr ECE-B,ART,L,
Tue,13,1,204,AVFD,4th Yr ECE-B,RS,L,
Tue,14,2,311,ECFC,4th Yr ECE-B,JP,L,
Tue,14,1,314,SME,4th Yr ECE-B,RR,L,
Tue,15,1,313,EDGE-A,4th Yr ECE-B,MV,L,
Tue,15,1,317,SQAM,4th Yr ECE-B,JJ,T,A1
Tue,16,2,314,DASIC,4th Yr ECE-B,KS,P,B1
Wed,9,1,203,SME,4th Yr ECE-B,RR,L,
Wed,9,2,217,EDGE-A,4th Yr ECE-B,MV,P,A2
Wed,9,2,219,RL-A,4th Yr ECE-B,SNK,P,A1
Wed,9,2,317,FOA,4th Yr ECE-B,UK,P,
Wed,11,2,214,DASIC,4th Yr ECE-B,KS,L,
Wed,13,1,204,FOA,4th Yr ECE-B,UK,L,
Wed,13,1,304,SME,4th Yr ECE-B,RR,T,A1
Wed,13,1,311,ECFC,4th Yr ECE-B,JP,L,
Wed,14,1,313,RL-A,4th Yr ECE-B,SNK,L,
Wed,15,1,204,AVFD,4th Yr ECE-B,RS,L,
Wed,16,2,317,AVFD,4th Yr ECE-B,RS,P,
Thu,11,2,217,EDGE-A,4th Yr ECE-B,MV,P,A1
Thu,11,2,219,RL-A,4th Yr ECE-B,SNK,P,A2
Thu,11,2,303,SQAM,4th Yr ECE-B,JJ,L,
Thu,11,2,R3,FOA,4th Yr ECE-B,UK,L,
Thu,13,1,204,MIC,4th Yr ECE-B,SJY,L,
Thu,14,2,304,SCE,4th Yr ECE-B,RHS,P,B2
Thu,16,2,313,RL-A,4th Yr ECE-B,SNK,L,
Fri,9,2,203,DASIC,4th Yr ECE-B,KS,P,B2
Fri,11,2,513,MEV,4th Yr ECE-B,ART,P,
Fri,13,1,204,AVFD,4th Yr ECE-B,RS,L,
Fri,14,2,219,SCE,4th Yr ECE-B,RHS,P,B1
Fri,14,2,Basement Lab,MEV,4th Yr ECE-B,ART,L,
Fri,15,1,203,SQAM,4th Yr ECE-B,JJ,L,
Sat,9,2,204,DADV,4th Yr ECE-B,SMT,L,
Sat,12,1,204,DADV,4th Yr ECE-B,SMT,L,

# ---- 4th Year CSE-A ----------------------------------------------------------
Mon,11,2,513,ECFC,4th Yr CSE-A,JP,P,
Mon,13,1,214,EDGE-A,4th Yr CSE-A,MV,L,
Mon,14,2,214,CPS,4th Yr CSE-A,SK,L,
Tue,9,1,203,SME,4th Yr CSE-A,RR,L,
Tue,12,1,314,MEV,4th Yr CSE-A,ART,L,
Tue,13,1,217,CPS,4th Yr CSE-A,SK,L,
Tue,14,2,311,ECFC,4th Yr CSE-A,JP,L,
Tue,14,2,313,EDGE-A,4th Yr CSE-A,MV,L,
Tue,14,1,314,SME,4th Yr CSE-A,RR,L,
Tue,15,1,311,ECFC,4th Yr CSE-A,JP,L,
Tue,16,2,219,CPS,4th Yr CSE-A,SK,P,A2
Wed,9,1,203,SME,4th Yr CSE-A,RR,L,
Wed,9,2,217,EDGE-A,4th Yr CSE-A,MV,P,A2
Wed,9,2,219,RL-A,4th Yr CSE-A,SNK,P,A1
Wed,11,2,219,MLDL,4th Yr CSE-A,UK,P,A1
Wed,13,1,304,SME,4th Yr CSE-A,RR,T,A1
Wed,13,1,311,ECFC,4th Yr CSE-A,JP,L,
Wed,14,1,313,RL-A,4th Yr CSE-A,SNK,L,
Wed,16,2,313,MLDL,4th Yr CSE-A,SMT,L,
Thu,11,2,217,EDGE-A,4th Yr CSE-A,MV,P,A1
Thu,11,2,219,RL-A,4th Yr CSE-A,SNK,P,A2
Thu,11,2,303,SQAM,4th Yr CSE-A,JJ,L,
Thu,16,2,313,RL-A,4th Yr CSE-A,SNK,L,
Fri,9,2,312,MLDL,4th Yr CSE-A,GB,P,A2
Fri,11,2,513,MEV,4th Yr CSE-A,ART,P,
Fri,13,1,314,MLDL,4th Yr CSE-A,SMT,L,
Fri,14,2,Basement Lab,MEV,4th Yr CSE-A,ART,L,
Fri,15,1,203,SQAM,4th Yr CSE-A,JJ,L,
Fri,16,2,219,CPS,4th Yr CSE-A,SK,P,A1

# ---- 4th Year CSE-B ----------------------------------------------------------
Mon,9,2,R1,CPS,4th Yr CSE-B,SK,L,
Mon,11,2,513,ECFC,4th Yr CSE-B,JP,P,
Mon,13,1,213,RL-B,4th Yr CSE-B,SNK,L,
Mon,16,2,217,MLDL,4th Yr CSE-B,JS,P,B1
Mon,16,2,219,MLDL,4th Yr CSE-B,SK,P,B2
Tue,9,1,203,SME,4th Yr CSE-B,RR,L,
Tue,12,1,314,MEV,4th Yr CSE-B,ART,L,
Tue,14,2,214,RL-B,4th Yr CSE-B,SNK,L,
Tue,14,2,311,ECFC,4th Yr CSE-B,JP,L,
Tue,14,1,314,SME,4th Yr CSE-B,RR,L,
Tue,15,1,314,SME,4th Yr CSE-B,RR,T,A2
Wed,9,1,203,SME,4th Yr CSE-B,RR,L,
Wed,10,1,211,SQAM,4th Yr CSE-B,JJ,T,A2
Wed,13,1,311,ECFC,4th Yr CSE-B,JP,L,
Wed,14,1,314,EDGE-B,4th Yr CSE-B,MV,L,
Wed,15,1,213,MLDL,4th Yr CSE-B,SMT,L,
Thu,9,2,219,CPS,4th Yr CSE-B,SK,P,B2
Thu,11,2,212,CPS,4th Yr CSE-B,SK,P,B1
Thu,11,2,303,SQAM,4th Yr CSE-B,JJ,L,
Thu,14,1,R3,CPS,4th Yr CSE-B,SK,L,
Thu,16,2,314,EDGE-B,4th Yr CSE-B,MV,L,
Fri,9,2,212,EDGE-B,4th Yr CSE-B,MV,P,B2
Fri,10,1,219,RL-B,4th Yr CSE-B,SNK,P,B1
Fri,11,2,212,EDGE-B,4th Yr CSE-B,MV,P,B1
Fri,11,2,304,RL-B,4th Yr CSE-B,SNK,P,B2
Fri,11,2,513,MEV,4th Yr CSE-B,ART,P,
Fri,14,2,Basement Lab,MEV,4th Yr CSE-B,ART,L,
Fri,15,1,203,SQAM,4th Yr CSE-B,JJ,L,
Fri,16,2,203,MLDL,4th Yr CSE-B,SMT,L,
